title,description,required_skills
React Developer,"React Developer — works on modern, responsive web user interfaces.","React, JavaScript, TypeScript, HTML, CSS, REST API"
Angular Developer,"Angular Developer — works on modern, responsive web user interfaces.","Angular, TypeScript, RxJS, HTML, CSS"
Vue.js Developer,"Vue.js Developer — works on modern, responsive web user interfaces.","Vue.js, JavaScript, HTML, CSS, REST API"
Frontend Developer,"Frontend Developer — works on modern, responsive web user interfaces.","HTML, CSS, JavaScript, React, Bootstrap"
JavaScript Developer,"JavaScript Developer — works on modern, responsive web user interfaces.","JavaScript, TypeScript, HTML, CSS, Node.js"
Next.js Developer,"Next.js Developer — works on modern, responsive web user interfaces.","Next.js, React, TypeScript, Tailwind CSS"
UI Developer,"UI Developer — works on modern, responsive web user interfaces.","HTML, CSS, JavaScript, Tailwind CSS, Figma"
Tailwind CSS Developer,"Tailwind CSS Developer — works on modern, responsive web user interfaces.","Tailwind CSS, HTML, CSS, JavaScript"
Web Accessibility Specialist,"Web Accessibility Specialist — works on modern, responsive web user interfaces.","accessibility, HTML, CSS, JavaScript"
jQuery Developer,"jQuery Developer — works on modern, responsive web user interfaces.","jQuery, JavaScript, HTML, CSS"
Python Developer,Python Developer — works on server-side application logic and APIs.,"Python, Flask, FastAPI, SQL, Git"
Django Developer,Django Developer — works on server-side application logic and APIs.,"Python, Django, REST API, PostgreSQL, Git"
Flask Developer,Flask Developer — works on server-side application logic and APIs.,"Python, Flask, REST API, SQL"
FastAPI Developer,FastAPI Developer — works on server-side application logic and APIs.,"Python, FastAPI, REST API, PostgreSQL"
Node.js Developer,Node.js Developer — works on server-side application logic and APIs.,"Node.js, Express.js, JavaScript, MongoDB, REST API"
Express.js Developer,Express.js Developer — works on server-side application logic and APIs.,"Express.js, Node.js, JavaScript, MongoDB"
PHP Developer,PHP Developer — works on server-side application logic and APIs.,"PHP, MySQL, REST API, Git"
Laravel Developer,Laravel Developer — works on server-side application logic and APIs.,"Laravel, PHP, MySQL, REST API"
Ruby on Rails Developer,Ruby on Rails Developer — works on server-side application logic and APIs.,"Ruby, REST API, PostgreSQL, Git"
Java Backend Developer,Java Backend Developer — works on server-side application logic and APIs.,"Java, Spring Boot, SQL, REST API"
Spring Boot Developer,Spring Boot Developer — works on server-side application logic and APIs.,"Spring Boot, Java, REST API, PostgreSQL"
Go Developer,Go Developer — works on server-side application logic and APIs.,"Go, REST API, Docker, PostgreSQL"
C# Developer,C# Developer — works on server-side application logic and APIs.,"C#, .NET, SQL, REST API"
.NET Developer,.NET Developer — works on server-side application logic and APIs.,".NET, C#, Microsoft SQL Server, REST API"
Full Stack Developer,Full Stack Developer — works on full end-to-end web applications.,"JavaScript, React, Node.js, SQL, Git"
MERN Stack Developer,MERN Stack Developer — works on full end-to-end web applications.,"MongoDB, Express.js, React, Node.js"
MEAN Stack Developer,MEAN Stack Developer — works on full end-to-end web applications.,"MongoDB, Express.js, Angular, Node.js"
WordPress Developer,WordPress Developer — works on full end-to-end web applications.,"WordPress, PHP, MySQL, HTML, CSS"
Shopify Developer,Shopify Developer — works on full end-to-end web applications.,"Shopify, Liquid, JavaScript, HTML, CSS"
Magento Developer,Magento Developer — works on full end-to-end web applications.,"Magento, PHP, MySQL, JavaScript"
Drupal Developer,Drupal Developer — works on full end-to-end web applications.,"Drupal, PHP, MySQL, HTML"
WooCommerce Developer,WooCommerce Developer — works on full end-to-end web applications.,"WordPress, WooCommerce, PHP, CSS"
Webflow Developer,Webflow Developer — works on full end-to-end web applications.,"Webflow, HTML, CSS, JavaScript"
Headless CMS Developer,Headless CMS Developer — works on full end-to-end web applications.,"Next.js, React, GraphQL, REST API"
Jamstack Developer,Jamstack Developer — works on full end-to-end web applications.,"Next.js, React, GraphQL, Tailwind CSS"
Android Developer,Android Developer — works on native and cross-platform mobile apps.,"Kotlin, Java, Android, REST API, Firebase"
iOS Developer,iOS Developer — works on native and cross-platform mobile apps.,"Swift, iOS, REST API, Firebase"
Flutter Developer,Flutter Developer — works on native and cross-platform mobile apps.,"Flutter, Dart, REST API, Firebase"
React Native Developer,React Native Developer — works on native and cross-platform mobile apps.,"React Native, React, JavaScript, REST API"
Kotlin Developer,Kotlin Developer — works on native and cross-platform mobile apps.,"Kotlin, Android, REST API"
Swift Developer,Swift Developer — works on native and cross-platform mobile apps.,"Swift, iOS, REST API"
Mobile App Developer,Mobile App Developer — works on native and cross-platform mobile apps.,"Flutter, React Native, REST API, Firebase"
Ionic Developer,Ionic Developer — works on native and cross-platform mobile apps.,"Ionic, Angular, TypeScript, REST API"
Game Developer,Game Developer — works on native and cross-platform mobile apps.,"C#, Unity, C++, problem solving"
AR/VR Developer,AR/VR Developer — works on native and cross-platform mobile apps.,"Unity, C#, computer vision basics, 3D"
Data Analyst,"Data Analyst — works on data pipelines, analysis and insights.","SQL, Excel, Power BI, Tableau, Statistics"
Data Scientist,"Data Scientist — works on data pipelines, analysis and insights.","Python, Pandas, Machine Learning, SQL, Statistics"
Data Engineer,"Data Engineer — works on data pipelines, analysis and insights.","Python, SQL, Apache Spark, Airflow, dbt"
Business Intelligence Analyst,"Business Intelligence Analyst — works on data pipelines, analysis and insights.","Power BI, SQL, Tableau, Excel"
BI Developer,"BI Developer — works on data pipelines, analysis and insights.","Power BI, SQL, data modeling, dbt"
Analytics Engineer,"Analytics Engineer — works on data pipelines, analysis and insights.","dbt, SQL, Python, data modeling"
Big Data Engineer,"Big Data Engineer — works on data pipelines, analysis and insights.","Apache Spark, Hadoop, Python, SQL"
Data Architect,"Data Architect — works on data pipelines, analysis and insights.","data modeling, SQL, data warehousing, ETL"
Statistician,"Statistician — works on data pipelines, analysis and insights.","Statistics, R, Python, data visualization"
Marketing Analyst,"Marketing Analyst — works on data pipelines, analysis and insights.","Google Analytics, SQL, Excel, data visualization"
Quantitative Analyst,"Quantitative Analyst — works on data pipelines, analysis and insights.","Python, Statistics, R, data modeling"
Bioinformatics Analyst,"Bioinformatics Analyst — works on data pipelines, analysis and insights.","Python, R, Statistics, data analysis"
AI Engineer,AI Engineer — works on machine-learning and AI systems.,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch"
Machine Learning Engineer,Machine Learning Engineer — works on machine-learning and AI systems.,"Python, Scikit-learn, Machine Learning, PyTorch, MLOps"
Deep Learning Engineer,Deep Learning Engineer — works on machine-learning and AI systems.,"Python, Deep Learning, TensorFlow, PyTorch"
NLP Engineer,NLP Engineer — works on machine-learning and AI systems.,"Python, NLP, PyTorch, Hugging Face"
Computer Vision Engineer,Computer Vision Engineer — works on machine-learning and AI systems.,"Python, OpenCV, Deep Learning, PyTorch"
Generative AI Engineer,Generative AI Engineer — works on machine-learning and AI systems.,"Python, LLMs, Prompt Engineering, Hugging Face"
AI Prompt Engineer,AI Prompt Engineer — works on machine-learning and AI systems.,"Prompt Engineering, LLMs, Python"
MLOps Engineer,MLOps Engineer — works on machine-learning and AI systems.,"MLOps, Docker, Kubernetes, Python, CI/CD"
Robotics Engineer,Robotics Engineer — works on machine-learning and AI systems.,"Python, C++, computer vision basics, control systems"
DevOps Engineer,DevOps Engineer — works on cloud infrastructure and deployment automation.,"Docker, Kubernetes, AWS, CI/CD, Linux"
Cloud Engineer,Cloud Engineer — works on cloud infrastructure and deployment automation.,"AWS, Docker, Terraform, Linux"
AWS Solutions Architect,AWS Solutions Architect — works on cloud infrastructure and deployment automation.,"AWS, Terraform, Docker, networking"
Azure Engineer,Azure Engineer — works on cloud infrastructure and deployment automation.,"Azure, Docker, CI/CD, Terraform"
GCP Engineer,GCP Engineer — works on cloud infrastructure and deployment automation.,"Google Cloud, Docker, Kubernetes, Terraform"
Site Reliability Engineer,Site Reliability Engineer — works on cloud infrastructure and deployment automation.,"Kubernetes, Prometheus, Linux, CI/CD"
Platform Engineer,Platform Engineer — works on cloud infrastructure and deployment automation.,"Kubernetes, Terraform, Docker, CI/CD"
Kubernetes Administrator,Kubernetes Administrator — works on cloud infrastructure and deployment automation.,"Kubernetes, Docker, Linux, Helm"
Infrastructure Engineer,Infrastructure Engineer — works on cloud infrastructure and deployment automation.,"Terraform, AWS, Linux, Ansible"
Release Engineer,Release Engineer — works on cloud infrastructure and deployment automation.,"CI/CD, Jenkins, Git, Docker"
Cloud Security Engineer,Cloud Security Engineer — works on cloud infrastructure and deployment automation.,"cloud security, AWS, Network Security, compliance"
Cybersecurity Analyst,"Cybersecurity Analyst — works on securing systems, networks and applications.","Network Security, Splunk, Linux, Incident Response"
Security Engineer,"Security Engineer — works on securing systems, networks and applications.","Network Security, Cryptography, Linux, cloud security"
Penetration Tester,"Penetration Tester — works on securing systems, networks and applications.","Penetration Testing, Burp Suite, Kali Linux, Ethical Hacking"
SOC Analyst,"SOC Analyst — works on securing systems, networks and applications.","SIEM, Splunk, Network Security, Incident Response"
Information Security Analyst,"Information Security Analyst — works on securing systems, networks and applications.","Network Security, compliance, risk assessment"
Network Security Engineer,"Network Security Engineer — works on securing systems, networks and applications.","Network Security, Firewalls, networking, Linux"
Application Security Engineer,"Application Security Engineer — works on securing systems, networks and applications.","Penetration Testing, Burp Suite, API security"
Security Architect,"Security Architect — works on securing systems, networks and applications.","Network Security, Cryptography, cloud security, compliance"
Incident Responder,"Incident Responder — works on securing systems, networks and applications.","Incident Response, SIEM, Splunk, forensics"
Malware Analyst,"Malware Analyst — works on securing systems, networks and applications.","malware analysis, reverse engineering, Kali Linux"
Ethical Hacker,"Ethical Hacker — works on securing systems, networks and applications.","Ethical Hacking, Penetration Testing, Kali Linux, Burp Suite"
UI/UX Designer,UI/UX Designer — works on user-centred product and visual design.,"Figma, Adobe XD, Wireframing, Prototyping, User Research"
Product Designer,Product Designer — works on user-centred product and visual design.,"Figma, Prototyping, User Research, Design Systems"
UX Researcher,UX Researcher — works on user-centred product and visual design.,"User Research, usability testing, Figma"
Graphic Designer,Graphic Designer — works on user-centred product and visual design.,"Photoshop, Illustrator, Typography, Canva"
Visual Designer,Visual Designer — works on user-centred product and visual design.,"Figma, Photoshop, Typography, color theory"
Interaction Designer,Interaction Designer — works on user-centred product and visual design.,"Figma, Prototyping, Interaction Design"
Motion Designer,Motion Designer — works on user-centred product and visual design.,"Adobe After Effects, motion, animation"
Brand Designer,Brand Designer — works on user-centred product and visual design.,"Illustrator, brand guidelines, Typography"
Web Designer,Web Designer — works on user-centred product and visual design.,"Figma, HTML, CSS, Webflow"
Design Systems Engineer,Design Systems Engineer — works on user-centred product and visual design.,"Figma, Design Systems, HTML, CSS"
Digital Marketer,Digital Marketer — works on digital marketing and growth.,"SEO, Google Ads, Google Analytics, content marketing"
SEO Specialist,SEO Specialist — works on digital marketing and growth.,"SEO, Google Analytics, content strategy, keyword research"
Content Marketer,Content Marketer — works on digital marketing and growth.,"content marketing, copywriting, SEO, content strategy"
Social Media Manager,Social Media Manager — works on digital marketing and growth.,"Social Media Marketing, Canva, content strategy"
Performance Marketer,Performance Marketer — works on digital marketing and growth.,"Meta Ads, Google Ads, conversion optimization"
Email Marketing Specialist,Email Marketing Specialist — works on digital marketing and growth.,"Email Marketing, Mailchimp, HubSpot, copywriting"
Growth Marketer,Growth Marketer — works on digital marketing and growth.,"Growth Marketing, Google Analytics, conversion optimization"
PPC Specialist,PPC Specialist — works on digital marketing and growth.,"Google Ads, Meta Ads, conversion optimization"
Affiliate Marketing Manager,Affiliate Marketing Manager — works on digital marketing and growth.,"Affiliate Marketing, SEO, Google Analytics"
Brand Manager,Brand Manager — works on digital marketing and growth.,"Brand Strategy, content strategy, Communication"
Copywriter,Copywriter — works on digital marketing and growth.,"copywriting, content strategy, SEO"
Content Strategist,Content Strategist — works on digital marketing and growth.,"content strategy, SEO, content marketing"
Influencer Marketing Manager,Influencer Marketing Manager — works on digital marketing and growth.,"Social Media Marketing, Brand Strategy, Communication"
Product Manager,"Product Manager — works on product strategy, delivery and operations.","Project Management, Agile, Communication, Stakeholder Management"
Project Manager,"Project Manager — works on product strategy, delivery and operations.","Project Management, Agile, Jira, Communication"
Scrum Master,"Scrum Master — works on product strategy, delivery and operations.","Scrum, Agile, Jira, Communication"
Business Analyst,"Business Analyst — works on product strategy, delivery and operations.","Business Analysis, SQL, Communication, Problem Solving"
Product Owner,"Product Owner — works on product strategy, delivery and operations.","Agile, Scrum, Stakeholder Management"
Program Manager,"Program Manager — works on product strategy, delivery and operations.","Project Management, Stakeholder Management, Communication"
Technical Program Manager,"Technical Program Manager — works on product strategy, delivery and operations.","Project Management, Agile, Communication"
Agile Coach,"Agile Coach — works on product strategy, delivery and operations.","Agile, Scrum, Communication, Leadership"
Operations Manager,"Operations Manager — works on product strategy, delivery and operations.","Operations, Leadership, Communication"
Strategy Analyst,"Strategy Analyst — works on product strategy, delivery and operations.","Business Analysis, Excel, Communication"
QA Engineer,QA Engineer — works on software quality assurance and test automation.,"Selenium, Test Automation, Jira, Problem Solving"
Test Automation Engineer,Test Automation Engineer — works on software quality assurance and test automation.,"Selenium, Test Automation, Python, CI/CD"
Manual QA Tester,Manual QA Tester — works on software quality assurance and test automation.,"manual testing, Jira, test cases"
SDET,SDET — works on software quality assurance and test automation.,"Test Automation, Selenium, Java, CI/CD"
Performance Test Engineer,Performance Test Engineer — works on software quality assurance and test automation.,"JMeter, performance testing, Test Automation"
Quality Analyst,Quality Analyst — works on software quality assurance and test automation.,"manual testing, test cases, Jira"
Database Administrator,"Database Administrator — works on databases, networks and systems.","SQL, PostgreSQL, MySQL, Linux"
Database Developer,"Database Developer — works on databases, networks and systems.","SQL, PostgreSQL, data modeling"
ETL Developer,"ETL Developer — works on databases, networks and systems.","ETL, SQL, Python, data warehousing"
Systems Administrator,"Systems Administrator — works on databases, networks and systems.","Linux, Bash, networking, Git"
Network Engineer,"Network Engineer — works on databases, networks and systems.","networking, Linux, Firewalls"
Embedded Systems Engineer,"Embedded Systems Engineer — works on databases, networks and systems.","C++, C, embedded, Linux"
IoT Developer,"IoT Developer — works on databases, networks and systems.","Python, C++, embedded, REST API"
Blockchain Developer,"Blockchain Developer — works on databases, networks and systems.","Solidity, blockchain, JavaScript, REST API"
Technical Writer,Technical Writer — works on emerging and specialised technology.,"technical writing, Communication, Markdown"
Developer Advocate,Developer Advocate — works on emerging and specialised technology.,"Communication, Python, public speaking"
Computer Graphics Engineer,Computer Graphics Engineer — works on emerging and specialised technology.,"C++, OpenGL, 3D, mathematics"
Solutions Engineer,Solutions Engineer — works on emerging and specialised technology.,"Communication, REST API, SQL, Problem Solving"
Sales Engineer,Sales Engineer — works on emerging and specialised technology.,"Communication, REST API, Problem Solving"
IT Support Specialist,IT Support Specialist — works on emerging and specialised technology.,"Linux, networking, troubleshooting, Communication"
